respondent,partner,frequency,partner_norm,partner_clean,freq_clean
R46,occasional in person protests (like at the legislature in Edmonton),Regularly (once a week or more),occasional in person protests like at the legislature in edmonton,occasional in person protests (like at the legislature in Edmonton),Regularly
R46,There aren't any particular organizations I partner with per se.  I engage with my sister (mental health disability),Regularly (once a week or more),there aren't any particular organizations i partner with per se i engage with my sister mental health disability,There aren't any particular organizations I partner with per se.  I engage with my sister (mental health disability),Regularly
R47,Braille Literacy Canada,Régulièrement (une fois par semaine ou plus),braille literacy canada,Braille Literacy Canada,Regularly
R47,Alliance for Equality of Blind Canadians,Occasionnellement (quelques fois par mois),alliance for equality of blind canadians,Alliance for Equality of Blind Canadians,Occasionally
R47,Fable,Occasionnellement (quelques fois par mois),fable,Fable,Occasionally
R48,ontario brain injury association,Regularly (once a week or more),ontario brain injury association,ontario brain injury association,Regularly
R48,canadian brain injury association,Occasionally (a few times a month),canadian brain injury association,canadian brain injury association,Occasionally
R48,march of dimes,Seldom (once a month or less)  ,march of dimes,March of Dimes,Seldom
R49,"Disabilities Without Poverty 
Inclusion Canada
March of Dimes Canada",Seldom (once a month or less)  ,disabilities without poverty inclusion canada march of dimes canada,"Disabilities Without Poverty 
Inclusion Canada
March of Dimes Canada",Seldom
R50,"Disability Alliance of BC
Disability Alliance of Canada 
Expert by Experience - Patient Advocate",Regularly (once a week or more),disability alliance of bc disability alliance of canada expert by experience - patient advocate,"Disability Alliance of BC
Disability Alliance of Canada 
Expert by Experience - Patient Advocate",Regularly
R51,Disability Without Poverty. Virtually.,Seldom (once a month or less)  ,disability without poverty virtually,Disability Without Poverty. Virtually.,Seldom
R52,"NB Coalition for Tenants' Rights
NB Coalition for Persons with Disabilities
Saint John Autism Centre",Occasionally (a few times a month),nb coalition for tenants' rights nb coalition for persons with disabilities saint john autism centre,"NB Coalition for Tenants' Rights
NB Coalition for Persons with Disabilities
Saint John Autism Centre",Occasionally
R53,Groupes FB: COVID longue groupe de soutien,Régulièrement (une fois par semaine ou plus),groupes fb covid longue groupe de soutien,Groupes FB: COVID longue groupe de soutien,Regularly
R53,"Victimes de vaccination Québec
Organisme Handicap sans pauvreté / Disability without poverty",Occasionnellement (quelques fois par mois),victimes de vaccination québec organisme handicap sans pauvreté  disability without poverty,"Victimes de vaccination Québec
Organisme Handicap sans pauvreté / Disability without poverty",Occasionally
