resp_id,language,connection_type,issues,partners_raw,freq1,freq2,freq3,partners_linked,connection_category,issue_category,primary_connection,primary_issue
R49,EN,"I’m a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);",Ending poverty for disabled people and others,"Disabilities Without Poverty 
Inclusion Canada
March of Dimes Canada
",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability;Advocate/CSO,Poverty/Income,Person with Disability,Poverty/Income
R50,EN,I’m a person with a disability;I’m a family member of a person with a disability;I work in recreation and/or leisure;,"Employment, advocacy, and creating inclusive programming ","Disability Alliance of BC
Disability Alliance of Canada 
Expert by Experience - Patient Advocate ",Regularly (once a week or more),Occasionally (a few times a month),Regularly (once a week or more),Yes,Person with Disability;Family/Caregiver;Leisure,Employment;Accessibility/Inclusion,Person with Disability,Employment
R51,EN,I’m a person with a disability;,"Surveys, letters to politicians, social media. All my input is via the Internet.",Disability Without Poverty. Virtually.,Seldom (once a month or less)  ,Seldom (once a month or less)  ,Na,No,Person with Disability,Other,Person with Disability,Other
R52,EN,"I’m a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);","1) Housing/Poverty
2) Intersection of Autism/ADHD/PTSD awareness in women and queer people (how they are overlooked, misdiagnosis, lack of accommodations and supports for adults late diagnosed, why comorbidity rates for neurodivergence and trauma in women and LGBTQ+ communities exist, sexual violence/gender discrimination and struggles with social skills)  
3)Invisible disability/chronic illness awareness","NB Coalition for Tenants' Rights
NB Coalition for Persons with Disabilities
Saint John Autism Centre",Occasionally (a few times a month),Seldom (once a month or less)  ,Occasionally (a few times a month),No,Person with Disability;Advocate/CSO,Poverty/Income;Housing,Person with Disability,Poverty/Income
R53,FR,Je suis une personne en situation de handicap;,"Droit à être reconnus et entendus, questions financières (crédits d'impôts, ressources financières pour les personnes en situation de handicap, régimes financiers comme le REEI).","Groupes FB: COVID longue groupe de soutien, Victimes de vaccination Québec
Organisme Handicap sans pauvreté / Disability without poverty",Régulièrement (une fois par semaine ou plus),Occasionnellement (quelques fois par mois),Rarement (une fois par mois ou moins)  ,Non,Other,Other,Other,Other
R54,EN,"I’m a person with a disability;I’m a family member of a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);I’m a researcher;work roles in autism and accessibility;","Currently, my primary job is working as a learning & development technical assistant for the Canadian Association for Supported Employment (CASE). The disability rights issue explored in its course content as well as in organization projects is employment.",,,,,,Person with Disability;Family/Caregiver;Advocate/CSO;Researcher,Employment;Rights/Policy,Person with Disability,Employment
R55,EN,"I’m a person with a disability;I’m a family member of a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);","Accessibility, Long Term Care, Disability Supports, Human Rights, Home Care, Employment, Income Supports, Housing, etc. etc.","Premier’s Council on Disabilities
NB Human Rights Commission
Rick Hansen Foundation",Occasionally (a few times a month),Regularly (once a week or more),Seldom (once a month or less)  ,Yes,Person with Disability;Family/Caregiver;Advocate/CSO,Employment;Poverty/Income;Housing;Accessibility/Inclusion;Rights/Policy,Person with Disability,Employment
R56,EN,I’m a person with a disability;,housing rights/affordability/access; increased funding for disability benefits,,,,,,Person with Disability,Housing;Accessibility/Inclusion;Rights/Policy,Person with Disability,Housing
R57,EN,"I’m a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);I am the president of a consumer organization of people with disabilities.;","transportation accessibility, digital accessibility, healthcare accessibility, access to adequate income","Canadian Council of the Blind, Inclusive Design Research Centre, Canadian Council of Rehabilitation and Work",Occasionally (a few times a month),Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability;Advocate/CSO,Health;Poverty/Income;Accessibility/Inclusion;Transportation,Person with Disability,Health
R58,EN,I’m a person with a disability;,"The disability rights issues I am most actively involved in are employment, public transit, environment, human rights, and other issues that are related to disability rights. I am currently looking for employment. I volunteered at organizations, events, and groups which include TTCriders, Progress Toronto, 350 Canada, Museum of Toronto, and the Toronto Disability Pride March. I provide advice and recommendations that are related to disability rights. I also worked as an Assistant, Social Services at Silent Voice from July 2023 to September 2023.","1. TTCriders
2. Progress Toronto
3. Disability Justice Network of Ontario",Regularly (once a week or more),Regularly (once a week or more),Occasionally (a few times a month),Yes,Person with Disability,Employment;Rights/Policy,Person with Disability,Employment
R59,EN,I’m a family member of a person with a disability;,"
Rights of youth with disabilities, middle school/high school age",Inclusive Ed teachers at my school - there are 3 I interacted with weekly for the past few years.,Regularly (once a week or more),Regularly (once a week or more),Regularly (once a week or more),Yes,Person with Disability;Family/Caregiver,Children/Youth;Education;Rights/Policy,Person with Disability,Children/Youth
R60,EN,"I’m a family member of a person with a disability;I work in the education field;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);","All of the above, it's for all persons with life long disabilities, as well as support for their families. Indigenous communities as well. I don't like to separate things out. We're for all disabilities, all ages, across Canada. ","Autism Alliance Canada
Spinal Cord Injury Canada
Brain Injury Canada",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability;Family/Caregiver;Advocate/CSO;Education,Indigenous,Person with Disability,Indigenous
R61,EN,I’m a person with a disability;I’m a family member of a person with a disability;,"Employment, Government supports for adults, Disability rights",,,,,,Person with Disability;Family/Caregiver,Employment;Rights/Policy,Person with Disability,Employment
R62,EN,"I’m a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);","Disability poverty, disability and climate change, disability and health care",,,,,,Person with Disability;Advocate/CSO,Health;Poverty/Income,Person with Disability,Health
R63,EN,I’m a person with a disability;,"accessiblility, employment, recreation and leisure, education ","Muscular Dystrophy Canada, Association québécoise de voile adaptée, National Educational Association
of Disabled Students",Seldom (once a month or less)  ,Regularly (once a week or more),A few times during the academic year ,No,Person with Disability,Employment;Education;Accessibility/Inclusion,Person with Disability,Employment
R64,EN,I’m a person with a disability;I’m a family member of a person with a disability;I work in the education field;,"Involved with a workplace committee that looks at employment issues for disabled members, a parent partner in a study supporting children's mental health and creation of parent resources, and a parent partner in a study looking at children's access to participation in physical activities. ",,,,,,Person with Disability;Family/Caregiver;Education,Employment;Children/Youth;Health;Accessibility/Inclusion,Person with Disability,Employment
R65,EN,"I’m a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);","rights for persons who are blind, deafblind or partially sighted","CNIB, CCB, CDN",Occasionally (a few times a month),Seldom (once a month or less)  ,Seldom (once a month or less)  ,Yes,Person with Disability;Advocate/CSO,Rights/Policy,Person with Disability,Rights/Policy
